id,qtr,mth,age,first_time_visit,visits_p3y,arrival_method,carrier,pov,pov_grp,multi_dest,last_port,next_port,stay_length,travel_type,gender,married,accom_exp,shopping_exp,fnb_exp,transport_exp,medical_exp,other_exp,total_exp,accompanying_pax,avg_exp,companions,companions_total,comp_alone,comp_colleagues,comp_partner,comp_friends,comp_family,comp_children
4,1,Jan,30-34,No,50,Sea,Sea,Otr_Per,Lei,Yes,No,Yes,0,FIT,Male,Yes,0.0,156.55,6.26,31.3,0.0,0.0,194.12,False,194.1199951171875,['Alone'],Alone,True,False,False,False,False,False
59,1,Jan,50-54,No,18,Air,VLU,Hea_T,Hea,No,No,No,1,FIT,Male,Yes,231.28,606.55,355.81,160.11,1750.0,0.0,3103.75,False,3103.75,['Alone'],Alone,True,False,False,False,False,False
83,1,Jan,40-44,No,3,Air,SIA,Gen_B,Bus,No,No,No,1,FIT,Male,Yes,996.27,226.55,1067.43,355.81,0.0,0.0,2646.06,False,2646.06005859375,['Alone'],Alone,True,False,False,False,False,False
250,1,Jan,20-24,No,11,Sea,Sea,Vis,Lei,Yes,No,Yes,1,FIT,Female,Yes,0.0,356.55,31.3,78.26,0.0,0.0,466.12,False,466.1199951171875,['Parents/ Parents-in-law'],Parents/ Parents-in-law,False,False,False,False,True,False
260,1,Jan,55-59,No,9,Air,GIA,Hea_T,Hea,No,No,No,2,FIT,Female,Yes,142.32,156.55,177.91,88.95,2000.0,0.0,2565.73,False,1282.864990234375,['Spouse'],Spouse,False,False,True,False,False,False
263,1,Jan,45-49,Yes,0,Sea,Sea,Gen_B,Bus,No,No,No,2,FIT,Male,Yes,273.91,156.55,23.48,11.74,0.0,0.0,465.68,False,232.83999633789062,['Spouse'],Spouse,False,False,True,False,False,False
265,1,Jan,30-34,Yes,0,Air,AXM,Stp,Lei,Yes,Yes,No,1,FIT,Male,Yes,355.81,239.55,0.0,17.79,0.0,0.0,613.15,False,613.1500244140625,['Friends'],Friends,False,False,False,True,False,False
266,1,Jan,12-14,Yes,0,Land,Land,Hol,Lei,Yes,Yes,No,2,Pkg,Male,No,179.2,156.55,35.58,56.0,0.0,0.0,427.34,False,213.6699981689453,['Grandparents/ Grandparents-in-law'],Grandparents/ Grandparents-in-law,False,False,False,False,True,False
269,1,Jan,35-39,Yes,0,Land,Land,Hol,Lei,Yes,Yes,No,4,FIT,Female,No,0.0,266.55,22.24,8.9,0.0,0.0,297.69,False,74.42250061035156,['Other relatives'],Other relatives,False,False,False,False,True,False
309,1,Jan,45-49,No,5,Air,GIA,Gen_B,Bus,No,No,No,1,FIT,Male,Yes,426.97,156.55,177.91,170.79,0.0,0.0,932.22,False,932.219970703125,['Alone'],Alone,True,False,False,False,False,False
346,1,Jan,40-44,No,0,Air,SIA,Acco_Hea,Lei,No,No,No,4,FIT,Male,Yes,170.79,436.55,177.91,35.58,400.0,0.0,1220.83,True,305.2074890136719,"['Spouse', 'Children aged 0-7 yrs', 'Children aged 8-12 yrs']","Spouse, Children aged 0-7 yrs, Children aged 8-12 yrs",False,False,True,False,False,True
349,1,Jan,15-19,No,0,Air,AXM,Hol,Lei,No,No,No,4,FIT,Female,No,0.0,636.55,444.76,22.24,0.0,0.0,1103.55,False,275.88751220703125,"['Parents/ Parents-in-law', 'Grandparents/ Grandparents-in-law', 'Siblings']","Parents/ Parents-in-law, Grandparents/ Grandparents-in-law, Siblings",False,False,False,False,True,False
364,1,Jan,40-44,Yes,0,Air,AXM,Hol,Lei,No,No,No,5,FIT,Male,Yes,266.86,756.55,142.32,35.58,0.0,0.0,1201.32,False,240.2639892578125,['Spouse'],Spouse,False,False,True,False,False,False
365,1,Jan,30-34,No,2,Air,AXM,Hol,Lei,No,No,No,2,FIT,Male,No,160.11,906.55,88.95,26.69,0.0,0.0,1182.31,False,591.155029296875,['Partner/ Boyfriend/ Girlfriend'],Partner/ Boyfriend/ Girlfriend,False,False,True,False,False,False
382,1,Jan,25-29,Yes,0,Air,A_Otr,Otr_Per,Lei,No,No,No,2,FIT,Male,Yes,213.49,156.55,88.95,53.37,0.0,0.0,512.36,False,256.17999267578125,['Spouse'],Spouse,False,False,True,False,False,False
397,1,Jan,35-39,No,2,Air,AXM,Hol,Lei,No,No,No,3,FIT,Male,Yes,83.02,206.55,118.6,79.07,0.0,0.0,487.25,False,162.41666666666666,"['Children aged 0-7 yrs', 'Parents/ Parents-in-law']","Children aged 0-7 yrs, Parents/ Parents-in-law",False,False,False,False,True,True
416,1,Jan,30-34,Yes,0,Air,GIA,Gen_B,Bus,No,No,No,4,FIT,Male,Yes,419.77,356.55,88.95,62.27,0.0,0.0,927.55,False,231.8874969482422,['Alone'],Alone,True,False,False,False,False,False
417,1,Jan,30-34,No,18,Air,GIA,Gen_B,Bus,No,No,No,4,FIT,Male,Yes,1334.29,256.55,177.91,71.16,0.0,0.0,1839.91,False,459.9775085449219,['Alone'],Alone,True,False,False,False,False,False
