case,quarter,R.mth,age,country,1st time visitor,nbr visit past 3 yrs,mode of arrival,carrier,purpose of visit,purpose of visit_Grp,pov6a,Mono-SIN,Last Port,Next Port,length of stay,Travel Type,gender,marital status,companion_1,companion_2,companion_3,companion_4,companion_5,companion_6,accomodation ($),shop ($),fnb ($),transport ($),medical ($),others ($),Total
4,1,1,30-34 yrs,Indonesia,No,50,Sea,,"Others - Personal (e.g. weddings, funerals, etc)",Leisure,Others/ Refused,Multi-Destination,No,Yes,day tripper,FIT,Male,married,Alone,,,,,,0.00,156.55,6.26,31.30,0.00,0.00,194.12
59,1,1,50-54 yrs,Indonesia,No,18,Air,Valuair (VLU),Outpatient consultation/treatment,Healthcare,Healthcare,Mono-SIN,No,No,1.00,FIT,Male,married,Alone,,,,,,231.28,606.55,355.81,160.11,"1,750.00",0.00,"3,103.75"
83,1,1,40-44 yrs,Indonesia,No,3,Air,Singapore Airlines Limited (SIA),General business purpose,Business,Business,Mono-SIN,No,No,1.00,FIT,Male,married,Alone,,,,,,996.27,226.55,"1,067.43",355.81,0.00,0.00,"2,646.06"
250,1,1,20-24 yrs,Indonesia,No,11,Sea,,Visiting friends/relatives,Leisure,Leisure,Multi-Destination,No,Yes,1.00,FIT,Female,married,Parents/ Parents-in-law,,,,,,0.00,356.55,31.30,78.26,0.00,0.00,466.12
260,1,1,55-59 yrs,Indonesia,No,9,Air,Garuda Indonesia (GIA),Outpatient consultation/treatment,Healthcare,Healthcare,Mono-SIN,No,No,2.00,FIT,Female,married,Spouse,,,,,,142.32,156.55,177.91,88.95,"2,000.00",0.00,"2,565.73"
263,1,1,45-49 yrs,Indonesia,Yes,,Sea,,General business purpose,Business,Business,Mono-SIN,No,No,2.00,FIT,Male,married,Spouse,,,,,,273.91,156.55,23.48,11.74,0.00,0.00,465.68
265,1,1,30-34 yrs,Indonesia,Yes,,Air,AirAsia Berhad (AXM),Stopover,Leisure,Leisure,Multi-Destination,Yes,No,1.00,FIT,Male,married,Friends,,,,,,355.81,239.55,0.00,17.79,0.00,0.00,613.15
266,1,1,12-14 yrs,Indonesia,Yes,,Land,,Holiday/ Rest & Relax,Leisure,Leisure,Multi-Destination,Yes,No,2.00,Pkg,Male,single,Grandparents/ Grandparents-in-law,,,,,,179.20,156.55,35.58,56.00,0.00,0.00,427.34
269,1,1,35-39 yrs,Indonesia,Yes,,Land,,Holiday/ Rest & Relax,Leisure,Leisure,Multi-Destination,Yes,No,4.00,FIT,Female,single,Other relatives,,,,,,0.00,266.55,22.24,8.90,0.00,0.00,297.69
309,1,1,45-49 yrs,Indonesia,No,5,Air,Garuda Indonesia (GIA),General business purpose,Business,Business,Mono-SIN,No,No,1.00,FIT,Male,married,Alone,,,,,,426.97,156.55,177.91,170.79,0.00,0.00,932.22
346,1,1,40-44 yrs,Indonesia,No,0,Air,Singapore Airlines Limited (SIA),Accompanying a Healthcare/medical visitor for Outpatient consultation/treat,Leisure,Accompanying Pax,Mono-SIN,No,No,4.00,FIT,Male,married,Spouse,Children aged 0-7 yrs,Children aged 8-12 yrs,,,,170.79,436.55,177.91,35.58,400.00,0.00,"1,220.83"
349,1,1,15-19 yrs,Indonesia,No,0,Air,AirAsia Berhad (AXM),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,4.00,FIT,Female,single,Parents/ Parents-in-law,Grandparents/ Grandparents-in-law,Siblings,,,,0.00,636.55,444.76,22.24,0.00,0.00,"1,103.55"
364,1,1,40-44 yrs,Indonesia,Yes,,Air,AirAsia Berhad (AXM),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,5.00,FIT,Male,married,Spouse,,,,,,266.86,756.55,142.32,35.58,0.00,0.00,"1,201.32"
365,1,1,30-34 yrs,Indonesia,No,2,Air,AirAsia Berhad (AXM),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,2.00,FIT,Male,single,Partner/ Boyfriend/ Girlfriend,,,,,,160.11,906.55,88.95,26.69,0.00,0.00,"1,182.31"
382,1,1,25-29 yrs,Indonesia,Yes,,Air,Delta Airlines (DAL),"Others - Personal (e.g. weddings, funerals, etc)",Leisure,Others/ Refused,Mono-SIN,No,No,2.00,FIT,Male,married,Spouse,,,,,,213.49,156.55,88.95,53.37,0.00,0.00,512.36
397,1,1,35-39 yrs,Indonesia,No,2,Air,AirAsia Berhad (AXM),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,3.00,FIT,Male,married,Children aged 0-7 yrs,Parents/ Parents-in-law,,,,,83.02,206.55,118.60,79.07,0.00,0.00,487.25
416,1,1,30-34 yrs,Indonesia,Yes,,Air,Garuda Indonesia (GIA),General business purpose,Business,Business,Mono-SIN,No,No,4.00,FIT,Male,married,Alone,,,,,,419.77,356.55,88.95,62.27,0.00,0.00,927.55
417,1,1,30-34 yrs,Indonesia,No,18,Air,Garuda Indonesia (GIA),General business purpose,Business,Business,Mono-SIN,No,No,4.00,FIT,Male,married,Alone,,,,,,"1,334.29",256.55,177.91,71.16,0.00,0.00,"1,839.91"
445,1,1,40-44 yrs,Indonesia,Yes,,Air,AirAsia Berhad (AXM),Holiday/ Rest & Relax,Leisure,Leisure,Multi-Destination,No,Yes,2.00,FIT,Male,married,Spouse,Children aged 0-7 yrs,Children aged 13-19 yrs,,,,222.38,256.55,142.32,8.90,0.00,0.00,630.15
484,1,1,45-49 yrs,Indonesia,No,0,Land,,General business purpose,Business,Business,Multi-Destination,Yes,No,2.00,FIT,Male,married,Spouse,Children aged 13-19 yrs,,,,,177.91,256.55,177.91,44.48,0.00,0.00,656.84
508,1,1,25-29 yrs,Indonesia,No,50,Air,Garuda Indonesia (GIA),Accompanying a Healthcare/medical visitor for Outpatient consultation/treat,Leisure,Accompanying Pax,Mono-SIN,No,No,3.00,FIT,Female,married,Parents/ Parents-in-law,,,,,,130.46,156.55,177.91,15.81,"2,333.33",0.00,"2,814.07"
